field,main_area,operator,tier,provenance,api_gravity,sulfur_pct,vacuum_resid_pct,ccr_pct,vanadium_ppm,nickel_ppm,middle_distillate_pct
TOR,North sea,ConocoPhillips Skandinavia AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",40.57577646541071,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
TRESTAKK,Norwegian sea,Equinor Energy AS,3_MEDIAN+DST,"median:Norwegian sea(9 grades,område)+API:Sodir-DST",39.84569454545456,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
TRYM,North sea,DNO Norge AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",45.20466511662791,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
TUNE,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",33.97504010131435,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
TYRIHANS,Norwegian sea,Equinor Energy AS,3_MEDIAN+DST,"median:Norwegian sea(9 grades,område)+API:Sodir-DST",39.92871087033123,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
TYRVING (BONUS),Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",34.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
UTGARD,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",44.11248630763792,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
VALE,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",43.01876296296297,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
VARG,North sea,Repsol Norge AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",34.61092032311517,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
VEGA,North sea,Harbour Energy Norge AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",44.32114179104477,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
VESLEFRIKK,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",38.71101654125528,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
VEST EKOFISK,North sea,ConocoPhillips Skandinavia AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",42.58891379310344,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
VOLVE,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",26.975558295964134,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
YGGDRASIL,Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",34.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
YME,North sea,Repsol Norge AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",38.507788177660544,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
ØRN (BONUS - SKARV SATELLITE),Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",50.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
