field,grade,is_direct_assay,n_months,decline_mean,decline_median,decline_std,decline_p25,decline_p75,oil_mean,gor_mean,water_cut_mean,field_age_mean,first_year,last_year,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,naphtha_pct,middle_distillate_pct,bottom_of_barrel_pct,ccr_pct,vanadium_ppm,nickel_ppm,nitrogen_ppm,viscosity_cst_40c,tan_mgkoh,wax_pct,main_area,discovery_year,D_monthly,D_annual,D_r2,n_post_peak,half_life_months
GINA KROG,Gina Krog,True,91,0.07102385029322891,-0.04133967743928815,0.5726795365190992,-0.13613589267157528,0.07538016349604408,0.07855582417582417,3.0472295814110533,0.040197490625495984,43.86813186813187,2018,2026,37.0,0.25,-10.0,12.0,25.0,34.0,32.0,,,,,,,,North sea,1978,0.01979892432736624,0.2375870919283949,0.8126478344306454,86.0,35.009335310296194
GOLIAT,Goliat,True,106,0.05070912645404144,-0.023850948003384637,0.5051442611208692,-0.09637831384413079,0.05044141957111993,0.173765,0.0,0.39032473757897856,21.245283018867923,2017,2026,41.2541667789031,0.167457488915332,-9.0,6.54579925633189,27.568250982386672,46.39963912368749,23.71865360946196,0.700538724073377,1.11471015654105,0.730279660053952,403.214575744402,2.21902312418446,0.0700000002980232,7.02639236277687,Barents sea,2000,0.010900398848938453,0.13080478618726143,0.6684871586453309,97.0,63.58915762311286
GRANE,Grane,True,267,0.047275512755388015,-0.006619220624097934,0.3976499331480811,-0.07594130810859633,0.07525414070146562,0.5165407116104869,0.0,0.416967100664455,23.471910112359552,2003,2026,27.1149865857435,0.66784513617451,0.0,19.0037543623531,11.76570998444963,38.192842737989885,47.925515066086575,3.2658749807797,11.0720274438829,3.5232091027351,1949.94386993433,13.7372014832226,1.10000002384186,7.10112377835507,North sea,1991,0.008363218468357334,0.10035862162028801,0.8493007506879888,232.0,82.88043451005174
GUDRUN,Gudrun,True,130,0.08543320610582461,-0.009182675051472916,0.5965359236940402,-0.08793699051660171,0.07773741790720279,0.1554933076923077,0.7968455090323385,0.2045865992234519,45.246153846153845,2015,2026,52.8907602496174,0.107484276736867,-34.4871872756882,3.48375045787699,52.9366564331882,28.04992635945584,12.19983761599267,0.427908176878432,0.385522532639454,0.141652533531472,327.839966600703,0.906681435282773,0.0204534027725458,2.67331165840072,North sea,1975,0.015535418009435028,0.18642501611322032,0.8325920342650394,124.0,44.61722112266182
GULLFAKS,Gullfaks,True,458,0.02069461555326526,-0.004883029820193197,0.23371963344597932,-0.07589769179941797,0.07603307988555853,0.8213749781659389,0.03818530477329873,0.5693260782152941,28.58515283842795,1988,2026,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,24.829243951917828,40.578826121203626,30.92540055276025,1.29277263814823,1.36373739122237,1.00202473443379,682.966522336703,2.98525862641834,0.0859949740533258,5.66064980065889,North sea,1978,0.008607907730778292,0.10329489276933951,0.8880906948272438,376.0,80.52446683199679
GYDA,Ekofisk,False,342,0.029254723236219835,-0.016934852235695595,0.35154143971210133,-0.09170019276654774,0.08698736813942833,0.09676824561403509,0.1552806743079947,0.5086964917942091,25.27485380116959,1991,2020,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1980,0.01424168984764529,0.1709002781717435,0.9414159375843758,297.0,48.67029039215804
HEIDRUN,Heidrun,True,352,0.017450103118076137,-0.010435787679774523,0.2641754114169647,-0.06139805205362178,0.04014595297946466,0.4786260227272727,0.2982630375759491,0.4184171047136925,26.0,1996,2026,24.4409440894606,0.532004638793878,-64.993677147368,15.7949149993578,7.07375475087069,44.70309629756213,47.54460121823877,2.28098943136035,11.327379295567,2.45025444436768,1067.60242618784,17.5153511397964,3.20000004768371,6.10117361985008,Norwegian sea,1985,0.005565559711726102,0.06678671654071322,0.8683955272095899,338.0,124.5422233274311
HOD,Ekofisk,False,393,0.08656860113155532,-0.011409189022510091,0.5408442059008569,-0.11627282491944146,0.13570205479452066,0.02674702290076336,0.13625921097577398,0.24507230474741354,34.24936386768448,1991,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1974,0.004413625522663837,0.05296350627196604,0.23688421489909495,389.0,157.04712078554354
IVAR AASEN,Grane,False,98,0.04926037781462576,-0.018633784024348968,0.441838669763144,-0.10636902712465814,0.08171619784275233,0.16715285714285716,0.1922575922701167,0.578829847915946,13.591836734693878,2018,2026,27.1149865857435,0.66784513617451,0.0,19.0037543623531,11.76570998444963,38.192842737989885,47.925515066086575,3.2658749807797,11.0720274438829,3.5232091027351,1949.94386993433,13.7372014832226,1.10000002384186,7.10112377835507,North sea,2008,0.01827491776840735,0.21929901322088818,0.7530927515385345,71.0,37.92888095826177
JOHAN SVERDRUP,Johan Sverdrup,True,64,0.00999909466450479,-0.007349706623415597,0.11093494454593777,-0.04776252114579643,0.0682737374944711,3.01208265625,0.03404079682839437,0.1039938541283109,13.0,2020,2026,28.6999948032333,0.808983374979588,-9.0,19.0386635517432,13.3664258293227,36.93440775154023,46.42446283978464,4.21493937539443,12.0608348247495,3.77434185643808,1735.21925216333,11.5539580305525,0.319999992847443,8.9696146711342,North sea,2010,0.003530414087340079,0.04236496904808095,0.18997671680941652,26.0,196.3359434366475
